run_mode,attack_profile,defense_type,total_cases,asr,orr,utility_rate,refusal_rate,unsafe_rate,avg_cost
simulator,company,defense_in_depth,50,0.0,0.0,0.0,1.0,0.0,1.5
simulator,company,input_filter,50,0.06,0.0,0.0,0.94,0.06,1.2000000000000002
simulator,company,no_defense,50,0.8,0.0,0.0,0.2,0.8,1.0
simulator,company,output_moderation,50,0.0,0.0,0.0,1.0,0.0,1.3
simulator,hazardous,defense_in_depth,50,0.0,0.72,0.28,0.86,0.0,1.5
simulator,hazardous,input_filter,50,0.16,0.72,0.28,0.78,0.08,1.2000000000000002
simulator,hazardous,no_defense,50,0.8,0.2,0.8,0.2,0.4,1.0
simulator,hazardous,output_moderation,50,0.0,0.2,0.8,0.6,0.0,1.3
simulator,knowledge,defense_in_depth,50,0.0,0.2,0.8,0.2,0.0,1.5
simulator,knowledge,input_filter,50,0.0,0.2,0.8,0.2,0.0,1.2000000000000002
simulator,knowledge,no_defense,50,0.0,0.0,1.0,0.0,0.0,1.0
simulator,knowledge,output_moderation,50,0.0,0.0,1.0,0.0,0.0,1.3
